date,index
2021-08-14,41.840275
2021-08-15,41.840275
2021-08-16,41.840275
2021-08-17,41.840275
2021-08-18,41.840275
2021-08-19,41.840275
2021-08-20,41.608795
2021-08-21,41.608795
2021-08-22,41.608795
2021-08-23,41.087963
2021-08-24,41.087963
2021-08-25,41.087963
2021-08-26,41.087963
2021-08-27,41.087963
2021-08-28,41.087963
2021-08-29,41.087963
2021-08-30,41.087963
2021-08-31,41.087963
2021-09-01,41.087963
2021-09-02,41.087963
2021-09-03,41.087963
2021-09-04,41.087963
2021-09-05,41.087963
2021-09-06,41.087963
2021-09-07,41.087963
2021-09-08,41.087963
2021-09-09,41.087963
2021-09-10,41.087963
2021-09-11,41.087963
2021-09-12,41.087963
2021-09-13,41.087963
2021-09-14,37.442127
2021-09-15,35.358795
2021-09-16,35.358795
2021-09-17,35.358795
2021-09-18,35.358795
2021-09-19,35.358795
2021-09-20,35.358795
2021-09-21,35.358795
2021-09-22,35.358795
2021-09-23,35.358795
2021-09-24,35.358795
2021-09-25,35.358795
2021-09-26,35.358795
2021-09-27,35.358795
2021-09-28,35.775463
2021-09-29,35.775463
2021-09-30,38.090275
2021-10-01,38.090275
2021-10-02,38.090275
2021-10-03,38.090275
2021-10-04,38.090275
2021-10-05,38.090275
2021-10-06,38.090275
2021-10-07,38.090275
2021-10-08,38.090275
2021-10-09,38.090275
2021-10-10,38.090275
2021-10-11,38.090275
2021-10-12,38.090275
2021-10-13,38.090275
2021-10-14,38.090275
2021-10-15,43.402782
2021-10-16,43.402782
2021-10-17,43.402782
2021-10-18,43.402782
2021-10-19,43.402782
2021-10-20,43.402782
2021-10-21,43.402782
2021-10-22,43.402782
2021-10-23,43.402782
2021-10-24,43.402782
2021-10-25,43.402782
2021-10-26,41.087963
2021-10-27,41.087963
2021-10-28,41.087963
2021-10-29,41.087963
2021-10-30,41.087963
2021-10-31,41.087963
2021-11-01,41.087963
2021-11-02,41.087963
2021-11-03,41.087963
2021-11-04,41.087963
2021-11-05,41.087963
2021-11-06,41.087963
2021-11-07,41.087963
2021-11-08,41.087963
2021-11-09,41.087963
2021-11-10,41.087963
2021-11-11,41.087963
2021-11-12,41.087963
2021-11-13,41.087963
2021-11-14,41.087963
2021-11-15,41.087963
2021-11-16,41.087963
2021-11-17,41.087963
2021-11-18,41.087963
2021-11-19,41.087963
2021-11-20,41.087963
2021-11-21,41.087963
2021-11-22,41.087963
2021-11-23,41.087963
2021-11-24,41.087963
2021-11-25,41.087963
2021-11-26,41.087963
2021-11-27,41.087963
2021-11-28,41.087963
2021-11-29,41.087963
2021-11-30,41.087963
2021-12-01,41.087963
2021-12-02,41.087963
2021-12-03,41.087963
2021-12-04,41.087963
2021-12-05,41.087963
2021-12-06,41.087963
2021-12-07,41.087963
2021-12-08,41.087963
2021-12-09,41.087963
2021-12-10,37.442127
2021-12-11,37.442127
2021-12-12,37.442127
2021-12-13,37.442127
2021-12-14,37.442127
2021-12-15,37.442127
2021-12-16,37.442127
2021-12-17,37.442127
2021-12-18,37.442127
2021-12-19,37.442127
2021-12-20,42.59259
2021-12-21,42.59259
2021-12-22,42.59259
2021-12-23,50.578705
2021-12-24,51.099537
2021-12-25,51.099537
2021-12-26,51.099537
2021-12-27,51.099537
2021-12-28,51.099537
2021-12-29,51.099537
2021-12-30,51.099537
2021-12-31,51.099537
2022-01-01,51.099537
2022-01-02,51.099537
2022-01-03,51.099537
2022-01-04,53.877316
2022-01-05,53.877316
2022-01-06,53.877316
2022-01-07,53.877316
2022-01-08,53.877316
2022-01-09,53.877316
2022-01-10,48.321758
2022-01-11,48.321758
2022-01-12,48.321758
2022-01-13,48.321758
2022-01-14,48.321758
2022-01-15,48.321758
2022-01-16,48.321758
2022-01-17,48.321758
2022-01-18,48.321758
2022-01-19,48.321758
2022-01-20,45.71759
2022-01-21,45.71759
2022-01-22,45.71759
2022-01-23,45.71759
2022-01-24,45.71759
2022-01-25,45.71759
2022-01-26,45.71759
2022-01-27,45.71759
2022-01-28,45.71759
2022-01-29,45.71759
2022-01-30,45.71759
2022-01-31,45.71759
2022-02-01,45.71759
2022-02-02,45.71759
2022-02-03,45.71759
2022-02-04,45.71759
2022-02-05,45.71759
2022-02-06,45.71759
2022-02-07,45.71759
2022-02-08,45.71759
2022-02-09,45.71759
2022-02-10,45.71759
2022-02-11,45.71759
2022-02-12,45.71759
2022-02-13,45.71759
2022-02-14,45.71759
2022-02-15,43.865742
2022-02-16,43.865742
2022-02-17,28.55324
2022-02-18,28.55324
2022-02-19,28.55324
2022-02-20,28.55324
2022-02-21,28.55324
2022-02-22,28.55324
2022-02-23,28.55324
